acc_x,acc_y,acc_z
0.124502,0.260976,9.914692
0.131685,0.246610,9.914692
0.129291,0.234639,9.933846
0.131685,0.253793,9.921875
0.129291,0.263370,9.943423
0.114925,0.241822,9.914692
0.124502,0.256187,9.933846
0.117319,0.258582,9.902720
0.124502,0.256187,9.921875
0.131685,0.260976,9.919480
0.138868,0.251399,9.914692
0.126897,0.263370,9.938635
0.126897,0.270553,9.929058
0.110137,0.272947,9.929058
0.129291,0.246610,9.921875
0.122108,0.260976,9.921875
0.129291,0.256187,9.919480
0.117319,0.260976,9.914692
0.117319,0.253793,9.924269
0.119714,0.263370,9.921875
0.131685,0.244216,9.931452
0.131685,0.244216,9.926663
0.131685,0.249005,9.938635
0.134079,0.246610,9.909904
0.129291,0.246610,9.914692
0.126897,0.256187,9.929058
0.119714,0.246610,9.914692
0.138868,0.260976,9.931452
0.117319,0.246610,9.912297
0.117319,0.265765,9.921875
0.119714,0.263370,9.938635
0.122108,0.256187,9.919480
0.134079,0.258582,9.921875
0.124502,0.246610,9.921875
0.124502,0.256187,9.924269
0.126897,0.265765,9.912297
0.126897,0.268159,9.914692
0.117319,0.241822,9.926663
0.114925,0.253793,9.929058
0.124502,0.265765,9.931452
0.131685,0.253793,9.917087
0.117319,0.256187,9.919480
0.105348,0.258582,9.926663
0.119714,0.256187,9.921875
0.129291,0.246610,9.929058
0.126897,0.268159,9.914692
0.136474,0.251399,9.919480
0.122108,0.241822,9.931452
0.126897,0.241822,9.936240
0.126897,0.256187,9.926663
0.119714,0.251399,9.912297
0.122108,0.234639,9.905115
0.126897,0.258582,9.902720
0.124502,0.253793,9.941029
0.129291,0.251399,9.921875
0.122108,0.263370,9.943423
0.129291,0.239427,9.938635
0.110137,0.239427,9.900327
-3.294522,-1.434171,9.919480
-2.245830,1.154040,10.043983
-1.158829,1.055875,9.842864
0.153234,1.453325,9.890749
2.092596,1.503605,9.838076
3.098191,1.201926,9.943423
2.961718,1.254600,9.974549
3.062278,0.105348,10.108628
1.666415,-0.344776,9.876384
0.696734,-1.041510,9.998491
-1.240234,-1.371920,9.933846
-2.231464,-1.474873,9.948212
-1.192349,-1.292908,9.895537
-0.914613,-1.527547,9.883567
-1.110944,-0.684763,10.005674
-0.524346,1.039115,9.979338
0.347170,1.884294,9.873989
0.873910,2.068653,9.909904
0.577020,0.756591,9.888355
0.009577,0.466884,9.981731
0.277736,0.536318,9.924269
0.349564,-0.028731,9.945818
0.241822,-0.023943,9.919480
0.124502,0.249005,9.919480
0.124502,0.260976,9.941029
0.117319,0.246610,9.912297
0.138868,0.225062,9.941029
0.126897,0.258582,9.912297
0.129291,0.268159,9.931452
0.122108,0.246610,9.921875
0.124502,0.260976,9.905115
0.124502,0.272947,9.929058
0.124502,0.263370,9.926663
0.129291,0.239427,9.936240
0.114925,0.260976,9.917087
0.134079,0.265765,9.917087
0.124502,0.246610,9.943423
0.126897,0.249005,9.919480
0.136474,0.246610,9.919480
0.141262,0.258582,9.914692
0.112531,0.241822,9.945818
0.131685,0.260976,9.931452
0.122108,0.258582,9.929058
0.117319,0.244216,9.921875
0.138868,0.263370,9.933846
0.134079,0.260976,9.909904
0.119714,0.263370,9.926663
0.131685,0.253793,9.931452
0.119714,0.270553,9.929058
0.131685,0.234639,9.902720
0.134079,0.263370,9.917087
0.119714,0.249005,9.933846
0.122108,0.239427,9.912297
0.117319,0.249005,9.907509
0.136474,0.249005,9.917087
0.126897,0.256187,9.909904
0.122108,0.251399,9.924269
0.122108,0.258582,9.931452
0.112531,0.275342,9.936240
0.114925,0.239427,9.924269
0.126897,0.260976,9.909904
0.124502,0.260976,9.912297
0.134079,0.249005,9.929058
0.129291,0.263370,9.912297
0.124502,0.260976,9.926663
0.131685,0.246610,9.912297
0.119714,0.251399,9.919480
0.119714,0.256187,9.938635
0.129291,0.253793,9.905115
0.134079,0.253793,9.914692
0.117319,0.253793,9.921875
0.119714,0.249005,9.933846
0.122108,0.246610,9.924269
0.134079,0.258582,9.926663
